"roleID","label","guildID","id","custom_id"
"925735515179860031",Ich bin ein Passant!,"925729625580113951",1,2
"925738402547118170",Ich bin ein Freund!,"925729625580113951",1,3
"1013456832330743888",Twitter News 🐦,"683059539054297159",3,4
"1013455403729825804",Server News 🔔,"683059539054297159",3,5
"1013525430977961984",Gewinnspiele 🎉,"683059539054297159",3,6
"1013455403729825804",Server News 🔔,"683059539054297159",6,7
"1013456832330743888",Twitter News 🐦,"683059539054297159",6,8
"1013525430977961984",Gewinnspiele 🎉,"683059539054297159",6,9
"1007737669310218360",Test,"1003987205196361728",9,10
"1019825313477296140",test,"1019243091267424287",10,11
"1019825313477296140",Mitglied,"1019243091267424287",11,12
"1019825313477296140",verifyzieren,"1019243091267424287",12,13
"1019825313477296140",Verifyzieren,"1019243091267424287",13,14
"1020719141214224464",verifyzieren,"1019243091267424287",13,15
"1019825313477296140",Verifyzieren,"1019243091267424287",15,16
"1020719141214224464",Verifyzieren,"1019243091267424287",16,17
"1020719141214224464",verifyzierung,"1019243091267424287",17,18
"1019825313477296140",member,"1019243091267424287",17,19
"1020719141214224464",Verifyzieren,"1019243091267424287",19,20
"1020719141214224464",verify,"1019243091267424287",19,21
"1019825313477296140",Mitglied,"1019243091267424287",21,22
"1019825313477296140",Mitglied,"1019243091267424287",22,23
"1019825313477296140",Mitglied,"1019243091267424287",23,24
"1020719141214224464",Verifyzieren,"1019243091267424287",23,25
"1000403264187154502",News Ping,"912454427162578964",25,26
"1000403408852889732",Social-Media Ping,"912454427162578964",25,27
"1000403314208415847",Gewinnspiel Ping,"912454427162578964",25,28
"1002508451865428078",Leaks Ping,"912454427162578964",25,29
"1002508462342803556",Updates Ping,"912454427162578964",25,30
"1020974644838268980",Regelwerk Gelesen,"1019243091267424287",30,31
"1020719141214224464",Verifyzieren,"1019243091267424287",31,32
"1015661768950960149",✅︱Verifyzieren,"1015583325236232263",32,33
"1014952646047694948",Verifizieren,"676115729124425737",33,34
"1014952646047694948",Verifiziere Dich,"676115729124425737",34,35
"1021479897224462409",verify,"1021068592353124454",35,36
"1014952646047694948",test,"676115729124425737",36,37
"1014952646047694948",Verify,"676115729124425737",37,38
"1021479897224462409",Verify,"1021068592353124454",38,39
"1014952646047694948",Verifizieren,"676115729124425737",39,40
"1021748220839346176",Verifyzieren,"1021746194185195532",40,41
"1021479897224462409",Verify,"1021068592353124454",41,42
"1022186035301589094",Verifizieren,"810089469314990101",42,43
"1022186035301589094",✅Verifizieren,"810089469314990101",43,44
"1022186035301589094",✅ Verifizieren,"810089469314990101",44,45
"1021479897224462409",verify,"1021068592353124454",45,46
"1021479897224462409",Verify,"1021068592353124454",46,47
"1023152821345984512",✅︱Freischalten,"1019243091267424287",47,48
"1023152821345984512",✅︱Freischalten,"1019243091267424287",48,49
"1023152821345984512",✅︱Freischalten,"1019243091267424287",49,50
"1014503150801125479",CB01,"1003987205196361728",50,51
"1014503234343276674",CB02,"1003987205196361728",50,52
"1025475012687315047",↬ Junge,"1025145936063766619",52,53
"1025476556656738457",↬ Mädchen,"1025145936063766619",52,54
"1025477297995796500",↬ 🎉Giveaway Ping,"1025145936063766619",54,55
"1025477495178403931",↬ 📰Neuigkeiten Ping,"1025145936063766619",54,56
"1025477660173942864",↬ 🎫Event Ping,"1025145936063766619",54,57
